journal_name,JCR_abbreviation,ISSN,eISSN,2021_JIF,JIF_quartile,pct_OA_gold,total_articles,subfield
PATTERN RECOGNITION LETTERS,PATTERN RECOGN LETT,0167-8655,1872-7344,4.757,Q2,3.24%,364,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE"
ICT Express,ICT EXPRESS,2405-9595,2405-9595,4.754,Q2,99.53%,88,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE"
IEEE Transactions on Computational Social Systems,IEEE T COMPUT SOC SY,2329-924X,2329-924X,4.747,Q2,4.09%,242,"COMPUTER SCIENCE, CYBERNETICS - SCIE"
IEEE Transactions on Computational Social Systems,IEEE T COMPUT SOC SY,2329-924X,2329-924X,4.747,Q2,4.09%,242,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE"
Clinical and Translational Radiation Oncology,CLIN TRANSL RAD ONCO,N/A,2405-6308,4.739,Q2,98.32%,104,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE"
INTERNATIONAL JOURNAL OF MEDICAL INFORMATICS,INT J MED INFORM,1386-5056,1872-8243,4.73,Q2,14.89%,188,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE"
INTERNATIONAL JOURNAL OF MEDICAL INFORMATICS,INT J MED INFORM,1386-5056,1872-8243,4.73,Q2,14.89%,188,MEDICAL INFORMATICS - SCIE
Ultrasonography,ULTRASONOGRAPHY,2288-5919,2288-5943,4.725,Q2,100%,65,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE"
COMPUTER PHYSICS COMMUNICATIONS,COMPUT PHYS COMMUN,0010-4655,1879-2944,4.717,Q2,10.74%,396,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE"
VIRTUAL REALITY,VIRTUAL REAL-LONDON,1359-4338,1434-9957,4.697,Q1,28.35%,108,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE"
VIRTUAL REALITY,VIRTUAL REAL-LONDON,1359-4338,1434-9957,4.697,Q1,28.35%,108,"COMPUTER SCIENCE, SOFTWARE ENGINEERING - SCIE"
Digital Health,DIGIT HEALTH,2055-2076,2055-2076,4.687,Q2,99.07%,70,MEDICAL INFORMATICS - SCIE
Journal of Grid Computing,J GRID COMPUT,1570-7873,1572-9184,4.674,Q1,18.66%,47,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE"
Journal of Grid Computing,J GRID COMPUT,1570-7873,1572-9184,4.674,Q1,18.66%,47,"COMPUTER SCIENCE, THEORY & METHODS - SCIE"
npj Systems Biology and Applications,NPJ SYST BIOL APPL,N/A,2056-7189,4.671,Q1,98.29%,45,MATHEMATICAL & COMPUTATIONAL BIOLOGY - SCIE
ACM TRANSACTIONS ON INFORMATION SYSTEMS,ACM T INFORM SYST,1046-8188,1558-2868,4.657,Q2,0%,43,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE"
EJNMMI Physics,EJNMMI PHYS,2197-7364,2197-7364,4.654,Q2,99.45%,77,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE"
JOURNAL OF COMPUTATIONAL PHYSICS,J COMPUT PHYS,0021-9991,1090-2716,4.645,Q2,4.96%,751,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE"
Quantitative Imaging in Medicine and Surgery,QUANT IMAG MED SURG,2223-4292,2223-4306,4.63,Q2,99.88%,511,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE"
JOURNAL OF NEURORADIOLOGY,J NEURORADIOLOGY,0150-9861,1773-0406,4.6,Q2,2.47%,52,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE"
IEEE Transactions on Cognitive and Developmental Systems,IEEE T COGN DEV SYST,2379-8920,2379-8939,4.546,Q2,2.94%,84,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE"
IEEE Transactions on Cognitive and Developmental Systems,IEEE T COGN DEV SYST,2379-8920,2379-8939,4.546,Q2,2.94%,84,ROBOTICS - SCIE
JOURNAL OF PARALLEL AND DISTRIBUTED COMPUTING,J PARALLEL DISTR COM,0743-7315,1096-0848,4.542,Q1,4.98%,195,"COMPUTER SCIENCE, THEORY & METHODS - SCIE"
Cognitive Systems Research,COGN SYST RES,2214-4366,1389-0417,4.541,Q2,7.69%,76,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE"
EUROPEAN JOURNAL OF RADIOLOGY,EUR J RADIOL,0720-048X,1872-7727,4.531,Q2,9.46%,501,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE"
Journal of Optical Communications and Networking,J OPT COMMUN NETW,1943-0620,1943-0639,4.508,Q1,8.15%,87,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE - SCIE"
Journal of Optical Communications and Networking,J OPT COMMUN NETW,1943-0620,1943-0639,4.508,Q1,8.15%,87,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE"
MEDICAL PHYSICS,MED PHYS,0094-2405,2473-4209,4.506,Q2,13.09%,673,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE"
TELECOMMUNICATIONS POLICY,TELECOMMUN POLICY,0308-5961,1879-3258,4.497,Q2,7.87%,96,INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI
Information Technology & People,INFORM TECHNOL PEOPL,0959-3845,1758-5813,4.481,Q2,2.35%,127,INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI
NMR IN BIOMEDICINE,NMR BIOMED,0952-3480,1099-1492,4.478,Q2,24.16%,178,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE"
FUZZY SETS AND SYSTEMS,FUZZY SET SYST,0165-0114,1872-6801,4.462,Q1,1.55%,239,"COMPUTER SCIENCE, THEORY & METHODS - SCIE"
Database-The Journal of Biological Databases and Curation,DATABASE-OXFORD,1758-0463,1758-0463,4.462,Q1,97.76%,74,MATHEMATICAL & COMPUTATIONAL BIOLOGY - SCIE
INTERNATIONAL JOURNAL OF APPROXIMATE REASONING,INT J APPROX REASON,0888-613X,1873-4731,4.452,Q2,6.52%,142,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE"
IEEE Transactions on Learning Technologies,IEEE T LEARN TECHNOL,1939-1382,1939-1382,4.433,Q2,5.10%,48,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE"
Big Data,BIG DATA-US,2167-6461,2167-647X,4.426,Q1,2.83%,44,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE"
Big Data,BIG DATA-US,2167-6461,2167-647X,4.426,Q1,2.83%,44,"COMPUTER SCIENCE, THEORY & METHODS - SCIE"
INTERNATIONAL JOURNAL OF COMPUTER INTEGRATED MANUFACTURING,INT J COMPUT INTEG M,0951-192X,1362-3052,4.42,Q2,6.92%,105,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE"
SOCIAL SCIENCE COMPUTER REVIEW,SOC SCI COMPUT REV,0894-4393,1552-8286,4.418,Q2,17.06%,115,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE"
SOCIAL SCIENCE COMPUTER REVIEW,SOC SCI COMPUT REV,0894-4393,1552-8286,4.418,Q2,17.06%,115,INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI
Enterprise Information Systems,ENTERP INF SYST-UK,1751-7575,1751-7583,4.407,Q2,3.45%,85,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE"
COMPUTER SYSTEMS SCIENCE AND ENGINEERING,COMPUT SYST SCI ENG,0267-6192,N/A,4.397,Q1,47.83%,126,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE - SCIE"
COMPUTER SYSTEMS SCIENCE AND ENGINEERING,COMPUT SYST SCI ENG,0267-6192,N/A,4.397,Q1,47.83%,126,"COMPUTER SCIENCE, THEORY & METHODS - SCIE"
International Journal of Machine Learning and Cybernetics,INT J MACH LEARN CYB,1868-8071,1868-808X,4.377,Q2,2.31%,232,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE"
Journal of Informetrics,J INFORMETR,1751-1577,1875-5879,4.373,Q2,14.62%,99,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE"
Journal of Informetrics,J INFORMETR,1751-1577,1875-5879,4.373,Q2,14.62%,99,INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI
IEEE Transactions on Control of Network Systems,IEEE T CONTROL NETW,2325-5870,2372-2533,4.347,Q2,15.12%,169,AUTOMATION & CONTROL SYSTEMS - SCIE
IEEE Transactions on Control of Network Systems,IEEE T CONTROL NETW,2325-5870,2372-2533,4.347,Q2,15.12%,169,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE"
IEEE Robotics and Automation Letters,IEEE ROBOT AUTOM LET,2377-3766,2377-3766,4.321,Q2,8.52%,"1,107",ROBOTICS - SCIE
Radiation Oncology,RADIAT ONCOL,N/A,1748-717X,4.309,Q2,99.73%,218,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE"
STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,STRUCT MULTIDISCIP O,1615-147X,1615-1488,4.279,Q2,11.03%,295,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE"
IEEE Transactions on Big Data,IEEE T BIG DATA,2332-7790,2332-7790,4.271,Q1,8.65%,78,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE"
IEEE Transactions on Big Data,IEEE T BIG DATA,2332-7790,2332-7790,4.271,Q1,8.65%,78,"COMPUTER SCIENCE, THEORY & METHODS - SCIE"
Information Technology for Development,INFORM TECHNOL DEV,0268-1102,1554-0170,4.261,Q2,12%,32,INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI
ADVANCES IN ENGINEERING SOFTWARE,ADV ENG SOFTW,0965-9978,1873-5339,4.255,Q1,7.17%,54,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE"
ADVANCES IN ENGINEERING SOFTWARE,ADV ENG SOFTW,0965-9978,1873-5339,4.255,Q1,7.17%,54,"COMPUTER SCIENCE, SOFTWARE ENGINEERING - SCIE"
JOURNAL OF THE FRANKLIN INSTITUTE-ENGINEERING AND APPLIED MATHEMATICS,J FRANKLIN I,0016-0032,1879-2693,4.246,Q2,0.67%,442,AUTOMATION & CONTROL SYSTEMS - SCIE
VLDB JOURNAL,VLDB J,1066-8888,0949-877X,4.243,Q2,18.54%,71,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE - SCIE"
VLDB JOURNAL,VLDB J,1066-8888,0949-877X,4.243,Q2,18.54%,71,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE"
QUALITATIVE HEALTH RESEARCH,QUAL HEALTH RES,1049-7323,1552-7557,4.233,Q2,21.09%,219,INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI
USER MODELING AND USER-ADAPTED INTERACTION,USER MODEL USER-ADAP,0924-1868,1573-1391,4.23,Q2,33.33%,23,"COMPUTER SCIENCE, CYBERNETICS - SCIE"
Radiology and Oncology,RADIOL ONCOL,1318-2099,1581-3207,4.214,Q2,97.87%,62,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE"
SIMULATION MODELLING PRACTICE AND THEORY,SIMUL MODEL PRACT TH,1569-190X,1878-1462,4.199,Q1,4.86%,137,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE"
SIMULATION MODELLING PRACTICE AND THEORY,SIMUL MODEL PRACT TH,1569-190X,1878-1462,4.199,Q1,4.86%,137,"COMPUTER SCIENCE, SOFTWARE ENGINEERING - SCIE"
Egyptian Informatics Journal,EGYPT INFORM J,1110-8665,2090-4754,4.195,Q2,93.33%,44,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE"
Egyptian Informatics Journal,EGYPT INFORM J,1110-8665,2090-4754,4.195,Q2,93.33%,44,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE"
CANADIAN ASSOCIATION OF RADIOLOGISTS JOURNAL-JOURNAL DE L ASSOCIATION CANADIENNE DES RADIOLOGISTES,CAN ASSOC RADIOL J,0846-5371,1488-2361,4.186,Q2,8.06%,85,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE"
JOURNAL OF COMPUTER-AIDED MOLECULAR DESIGN,J COMPUT AID MOL DES,0920-654X,1573-4951,4.179,Q2,18.25%,68,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE"
CHEMOMETRICS AND INTELLIGENT LABORATORY SYSTEMS,CHEMOMETR INTELL LAB,0169-7439,1873-3239,4.175,Q2,6.94%,171,AUTOMATION & CONTROL SYSTEMS - SCIE
CHEMOMETRICS AND INTELLIGENT LABORATORY SYSTEMS,CHEMOMETR INTELL LAB,0169-7439,1873-3239,4.175,Q2,6.94%,171,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE"
PHYSICS IN MEDICINE AND BIOLOGY,PHYS MED BIOL,0031-9155,1361-6560,4.174,Q2,15.16%,542,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE"
ACM Transactions on Knowledge Discovery from Data,ACM T KNOWL DISCOV D,1556-4681,1556-472X,4.157,Q1,0.69%,151,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE"
ACM Transactions on Knowledge Discovery from Data,ACM T KNOWL DISCOV D,1556-4681,1556-472X,4.157,Q1,0.69%,151,"COMPUTER SCIENCE, SOFTWARE ENGINEERING - SCIE"
COMPUTERS & ELECTRICAL ENGINEERING,COMPUT ELECTR ENG,0045-7906,1879-0755,4.152,Q2,1.81%,478,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE - SCIE"
COMPUTERS & ELECTRICAL ENGINEERING,COMPUT ELECTR ENG,0045-7906,1879-0755,4.152,Q2,1.81%,478,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE"
IEEE Consumer Electronics Magazine,IEEE CONSUM ELECTR M,2162-2248,2162-2256,4.135,Q2,2.58%,78,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE - SCIE"
COMPUTERS & CHEMICAL ENGINEERING,COMPUT CHEM ENG,0098-1354,1873-4375,4.13,Q2,7.72%,343,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE"
Computational Visual Media,COMPUT VIS MEDIA,2096-0433,2096-0662,4.127,Q1,100%,29,"COMPUTER SCIENCE, SOFTWARE ENGINEERING - SCIE"
IEEE Transactions on Human-Machine Systems,IEEE T HUM-MACH SYST,2168-2291,2168-2305,4.124,Q2,11.06%,92,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE"
IEEE Transactions on Human-Machine Systems,IEEE T HUM-MACH SYST,2168-2291,2168-2305,4.124,Q2,11.06%,92,"COMPUTER SCIENCE, CYBERNETICS - SCIE"
ACM Transactions on Computer-Human Interaction,ACM T COMPUT-HUM INT,1073-0516,1557-7325,4.106,Q2,0%,45,"COMPUTER SCIENCE, CYBERNETICS - SCIE"
ACM Transactions on Computer-Human Interaction,ACM T COMPUT-HUM INT,1073-0516,1557-7325,4.106,Q2,0%,45,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE"
ACM Transactions on Multimedia Computing Communications and Applications,ACM T MULTIM COMPUT,1551-6857,1551-6865,4.094,Q1,0%,162,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE"
ACM Transactions on Multimedia Computing Communications and Applications,ACM T MULTIM COMPUT,1551-6857,1551-6865,4.094,Q1,0%,162,"COMPUTER SCIENCE, SOFTWARE ENGINEERING - SCIE"
ACM Transactions on Multimedia Computing Communications and Applications,ACM T MULTIM COMPUT,1551-6857,1551-6865,4.094,Q1,0%,162,"COMPUTER SCIENCE, THEORY & METHODS - SCIE"
International Journal of Fuzzy Systems,INT J FUZZY SYST,1562-2479,2199-3211,4.085,Q2,1.91%,207,AUTOMATION & CONTROL SYSTEMS - SCIE
International Journal of Fuzzy Systems,INT J FUZZY SYST,1562-2479,2199-3211,4.085,Q2,1.91%,207,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE"
International Journal of Fuzzy Systems,INT J FUZZY SYST,1562-2479,2199-3211,4.085,Q2,1.91%,207,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE"
BioData Mining,BIODATA MIN,1756-0381,1756-0381,4.079,Q1,98.85%,49,MATHEMATICAL & COMPUTATIONAL BIOLOGY - SCIE
ULTRASONICS,ULTRASONICS,0041-624X,1874-9968,4.062,Q2,5.52%,262,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE"
CONTROL ENGINEERING PRACTICE,CONTROL ENG PRACT,0967-0661,1873-6939,4.057,Q2,4.41%,233,AUTOMATION & CONTROL SYSTEMS - SCIE
Molecular Informatics,MOL INFORM,1868-1743,1868-1751,4.05,Q1,12.98%,48,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE"
Molecular Informatics,MOL INFORM,1868-1743,1868-1751,4.05,Q1,12.98%,48,MATHEMATICAL & COMPUTATIONAL BIOLOGY - SCIE
STRAHLENTHERAPIE UND ONKOLOGIE,STRAHLENTHER ONKOL,0179-7158,1439-099X,4.033,Q2,37.90%,88,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE"
ACM Transactions on Internet Technology,ACM T INTERNET TECHN,1533-5399,1557-6051,3.989,Q1,0%,102,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE"
ACM Transactions on Internet Technology,ACM T INTERNET TECHN,1533-5399,1557-6051,3.989,Q1,0%,102,"COMPUTER SCIENCE, SOFTWARE ENGINEERING - SCIE"
JOURNAL OF PROCESS CONTROL,J PROCESS CONTR,0959-1524,1873-2771,3.951,Q2,5.84%,150,AUTOMATION & CONTROL SYSTEMS - SCIE
MATHEMATICAL BIOSCIENCES,MATH BIOSCI,0025-5564,1879-3134,3.935,Q1,5.98%,62,MATHEMATICAL & COMPUTATIONAL BIOLOGY - SCIE
JOURNAL OF COMMUNICATIONS AND NETWORKS,J COMMUN NETW-S KOR,1229-2370,1976-5541,3.908,Q2,99.22%,42,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE"
INTERNATIONAL JOURNAL OF ROBUST AND NONLINEAR CONTROL,INT J ROBUST NONLIN,1049-8923,1099-1239,3.897,Q2,4.37%,557,AUTOMATION & CONTROL SYSTEMS - SCIE
INFORMATION SYSTEMS MANAGEMENT,INFORM SYST MANAGE,1058-0530,1934-8703,3.882,Q2,8.16%,20,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE"
JOURNAL OF NUCLEAR CARDIOLOGY,J NUCL CARDIOL,1071-3581,1532-6551,3.872,Q2,16.41%,238,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE"
BULLETIN OF MATHEMATICAL BIOLOGY,B MATH BIOL,0092-8240,1522-9602,3.871,Q2,24.55%,117,MATHEMATICAL & COMPUTATIONAL BIOLOGY - SCIE
International Journal on Document Analysis and Recognition,INT J DOC ANAL RECOG,1433-2833,1433-2825,3.87,Q2,12%,29,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE"
INFORMATION AND SOFTWARE TECHNOLOGY,INFORM SOFTWARE TECH,0950-5849,1873-6025,3.862,Q1,9.80%,174,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE"
INFORMATION AND SOFTWARE TECHNOLOGY,INFORM SOFTWARE TECH,0950-5849,1873-6025,3.862,Q1,9.80%,174,"COMPUTER SCIENCE, SOFTWARE ENGINEERING - SCIE"
CMC-Computers Materials & Continua,CMC-COMPUT MATER CON,1546-2218,1546-2226,3.86,Q2,95.45%,915,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE"
IMAGE AND VISION COMPUTING,IMAGE VISION COMPUT,0262-8856,1872-8138,3.86,Q1,3.59%,142,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE"
IMAGE AND VISION COMPUTING,IMAGE VISION COMPUT,0262-8856,1872-8138,3.86,Q1,3.59%,142,"COMPUTER SCIENCE, SOFTWARE ENGINEERING - SCIE"
IMAGE AND VISION COMPUTING,IMAGE VISION COMPUT,0262-8856,1872-8138,3.86,Q1,3.59%,142,"COMPUTER SCIENCE, THEORY & METHODS - SCIE"
Pervasive and Mobile Computing,PERVASIVE MOB COMPUT,1574-1192,1873-1589,3.848,Q2,6.67%,69,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE"
Journal of Computational Science,J COMPUT SCI-NETH,1877-7503,1877-7511,3.817,Q1,10.61%,158,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE"
Journal of Computational Science,J COMPUT SCI-NETH,1877-7503,1877-7511,3.817,Q1,10.61%,158,"COMPUTER SCIENCE, THEORY & METHODS - SCIE"
International Journal of Social Robotics,INT J SOC ROBOT,1875-4791,1875-4805,3.802,Q2,36.26%,122,ROBOTICS - SCIE
SCIENTOMETRICS,SCIENTOMETRICS,0138-9130,1588-2861,3.801,Q2,20.55%,360,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE"
SCIENTOMETRICS,SCIENTOMETRICS,0138-9130,1588-2861,3.801,Q2,20.55%,360,INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI
IEEE-ACM TRANSACTIONS ON NETWORKING,IEEE ACM T NETWORK,1063-6692,1558-2566,3.796,Q1,15.42%,285,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE - SCIE"
IEEE-ACM TRANSACTIONS ON NETWORKING,IEEE ACM T NETWORK,1063-6692,1558-2566,3.796,Q1,15.42%,285,"COMPUTER SCIENCE, THEORY & METHODS - SCIE"
Health Information Management Journal,HEALTH INF MANAG J,1833-3583,1833-3575,3.778,Q2,7.46%,21,MEDICAL INFORMATICS - SCIE
EMPIRICAL SOFTWARE ENGINEERING,EMPIR SOFTW ENG,1382-3256,1573-7616,3.762,Q1,27.60%,121,"COMPUTER SCIENCE, SOFTWARE ENGINEERING - SCIE"
IEEE TRANSACTIONS ON PARALLEL AND DISTRIBUTED SYSTEMS,IEEE T PARALL DISTR,1045-9219,1558-2183,3.757,Q1,7.03%,222,"COMPUTER SCIENCE, THEORY & METHODS - SCIE"
INTERNATIONAL JOURNAL OF HYPERTHERMIA,INT J HYPERTHER,0265-6736,1464-5157,3.753,Q2,98.14%,183,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE"
Big Data Research,BIG DATA RES,2214-5796,2214-5796,3.739,Q2,12.71%,94,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE"
Big Data Research,BIG DATA RES,2214-5796,2214-5796,3.739,Q2,12.71%,94,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE"
Big Data Research,BIG DATA RES,2214-5796,2214-5796,3.739,Q2,12.71%,94,"COMPUTER SCIENCE, THEORY & METHODS - SCIE"
Frontiers in Neuroinformatics,FRONT NEUROINFORM,N/A,1662-5196,3.739,Q2,99.01%,67,MATHEMATICAL & COMPUTATIONAL BIOLOGY - SCIE
MAGNETIC RESONANCE IN MEDICINE,MAGN RESON MED,0740-3194,1522-2594,3.737,Q2,25.92%,564,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE"
COMPUTATIONAL BIOLOGY AND CHEMISTRY,COMPUT BIOL CHEM,1476-9271,1476-928X,3.737,Q2,4.07%,138,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE"
SOFT COMPUTING,SOFT COMPUT,1432-7643,1433-7479,3.732,Q2,3.59%,921,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE"
SOFT COMPUTING,SOFT COMPUT,1432-7643,1433-7479,3.732,Q2,3.59%,921,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE"
Swarm Intelligence,SWARM INTELL-US,1935-3812,1935-3820,3.727,Q2,38.10%,20,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE"
Swarm Intelligence,SWARM INTELL-US,1935-3812,1935-3820,3.727,Q2,38.10%,20,ROBOTICS - SCIE
COMPUTER STANDARDS & INTERFACES,COMPUT STAND INTER,0920-5489,1872-7018,3.721,Q1,5.10%,85,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE - SCIE"
COMPUTER STANDARDS & INTERFACES,COMPUT STAND INTER,0920-5489,1872-7018,3.721,Q1,5.10%,85,"COMPUTER SCIENCE, SOFTWARE ENGINEERING - SCIE"
IEEE-ACM Transactions on Computational Biology and Bioinformatics,IEEE ACM T COMPUT BI,1545-5963,1557-9964,3.702,Q3,5.99%,274,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE"
ROBOTICS AND AUTONOMOUS SYSTEMS,ROBOT AUTON SYST,0921-8890,1872-793X,3.7,Q2,5.87%,156,AUTOMATION & CONTROL SYSTEMS - SCIE
ROBOTICS AND AUTONOMOUS SYSTEMS,ROBOT AUTON SYST,0921-8890,1872-793X,3.7,Q2,5.87%,156,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE"
ROBOTICS AND AUTONOMOUS SYSTEMS,ROBOT AUTON SYST,0921-8890,1872-793X,3.7,Q2,5.87%,156,ROBOTICS - SCIE
ULTRASOUND IN MEDICINE AND BIOLOGY,ULTRASOUND MED BIOL,0301-5629,1879-291X,3.694,Q2,12.39%,303,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE"
ACM TRANSACTIONS ON SOFTWARE ENGINEERING AND METHODOLOGY,ACM T SOFTW ENG METH,1049-331X,1557-7392,3.685,Q1,0%,55,"COMPUTER SCIENCE, SOFTWARE ENGINEERING - SCIE"
International Journal of Critical Infrastructure Protection,INT J CRIT INFR PROT,1874-5482,2212-2087,3.683,Q2,8.26%,44,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE"
JOURNAL OF VASCULAR AND INTERVENTIONAL RADIOLOGY,J VASC INTERV RADIOL,1051-0443,1535-7732,3.682,Q2,3.52%,205,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE"
SAR AND QSAR IN ENVIRONMENTAL RESEARCH,SAR QSAR ENVIRON RES,1062-936X,1029-046X,3.681,Q2,3.52%,48,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE"
SAR AND QSAR IN ENVIRONMENTAL RESEARCH,SAR QSAR ENVIRON RES,1062-936X,1029-046X,3.681,Q2,3.52%,48,MATHEMATICAL & COMPUTATIONAL BIOLOGY - SCIE
Journal of Ambient Intelligence and Humanized Computing,J AMB INTEL HUM COMP,1868-5137,1868-5145,3.662,Q2,3.22%,900,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE"
Journal of Ambient Intelligence and Humanized Computing,J AMB INTEL HUM COMP,1868-5137,1868-5145,3.662,Q2,3.22%,900,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE"
COMPUTER-AIDED DESIGN,COMPUT AIDED DESIGN,0010-4485,1879-2685,3.652,Q1,6.14%,98,"COMPUTER SCIENCE, SOFTWARE ENGINEERING - SCIE"
JOURNAL OF ARTIFICIAL INTELLIGENCE RESEARCH,J ARTIF INTELL RES,1076-9757,1943-5037,3.635,Q2,25.41%,83,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE"
